id,name,party,sector,country
uvl,Ursula von der Leyen,CDU,Politik,EU
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Roettgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,LINKE,Politik,Deutschland
cs,Constanze Stelzenmueller,Experte,Wissenschaft,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schloegel,Experte,Wissenschaft,Deutschland
lm,Ljudmyla Melnyk,Experte,Wissenschaft,Ukraine
kd,Kristina Dunz,Journalist,Medien,Deutschland
el,Egils Levits,Praesident,Politik,Lettland
ab,Annalena Baerbock,GRUENE,Politik,Deutschland
ft,Frans Timmermans,EU,Politik,EU
am,Andrij Melnyk,Ukraine,Diplomatie,Deutschland
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,Experte,Militaer,Deutschland
rh,Robert Habeck,GRUENE,Politik,Deutschland
cm,Claudia Major,Experte,Wissenschaft,Deutschland
kp,Katja Petrowskaja,Journalist,Medien,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,Deutschland
501,Folge 501,,,Deutschland
502,Folge 502,,,Deutschland
503,Folge 503,,,Deutschland
